row_nr,anno_label,label
0,"[8, 5, 9, 13, 10, 12, 1, 2, 11, 4, 3, 6, 7, 14]","[8, 5, 9, 13, 10, 12, 1, 2, 11, 4, 7, 3, 6, 14]"
27,"[1, 7, 4, 5, 3, 2, 6]","[1, 7, 4, 5, 3, 2, 6]"
32,"[6, 1, 3, 2, 5, 4, 7, 8]","[6, 1, 3, 2, 5, 4, 7, 8]"
35,"[3, 1, 4, 6, 9, 5, 11, 2, 10, 8, 7]","[3, 1, 4, 6, 9, 5, 11, 2, 10, 8, 7]"
71,"[3, 2, 1, 4]","[3, 2, 1, 4]"
90,"[1, 2, 5, 4, 3]","[1, 2, 5, 4, 3]"
99,"[3, 2, 1]","[3, 1, 2]"
103,"[1, 2, 3]","[1, 3, 2]"
128,"[2, 3, 1, 4]","[1, 4, 2, 3]"
162,"[2, 1, 3]","[2, 1, 3]"
187,"[2, 1, 3]","[2, 1, 3]"
201,"[1, 3, 2, 4]","[1, 3, 2, 4]"
218,"[1, 3, 2, 4]","[1, 3, 2, 4]"
272,"[4, 1, 3, 2]","[4, 1, 3, 2]"
274,"[2, 4, 3, 1]","[2, 4, 3, 1]"
293,"[3, 2, 4, 1]","[3, 2, 4, 1]"
358,"[1, 3, 2]","[1, 3, 2]"
422,"[1, 4, 5, 2, 3, 6, 7]","[4, 5, 2, 3, 7, 6, 1]"
423,"[3, 2, 4, 1]","[3, 2, 4, 1]"
481,"[2, 3, 1]","[2, 3, 1]"
499,"[8, 4, 3, 5, 1, 2, 9, 6, 7]","[8, 3, 4, 6, 7, 1, 2, 9, 5]"
592,"[3, 1, 2, 5, 6, 4]","[3, 2, 6, 5, 4, 1]"
601,"[2, 1, 3]","[2, 1, 3]"
621,"[6, 5, 7, 1, 2, 3, 8, 4]","[7, 2, 6, 5, 1, 3, 8, 4]"
628,"[1, 2, 3]","[1, 2, 3]"
681,"[5, 6, 1, 7, 2, 3, 4]","[5, 6, 1, 7, 2, 4, 3]"
